DOC Start at : Sun Feb 14 11:08:44 2021

Frq. Band 1: 1585 - 1605 Hz  Frq. Band 2: 1900 - 1920 Hz  (Sample Freq: 44100 Hz  Frequency Resolution: 3 Hz  --> Sample Size (Chunk): 14700)
ID          time   Frq Hz: 1584    1586    1590    1592    1596    1599    1602    1898    1902    1905    1908    1911    1914    1917        avg FB1/FB2/sum   max FB1/F / max FB2/F / sum smp/sec
P3 1613319047 11:10:47       22      39      45       7       3       8       8       3      67      58       7     101     364     402       18    143    161    45 1590    402 1917    447   4
P3 1613319048 11:10:48      382      15      12     196     645      24    1183      76      18     635     779     609    3646    3685      351   1349   1700  1183 1602   3685 1917   4868   2
P3 1613319049 11:10:49       31       1      45      55      54      13      49       7       7      29     153     135      15      74       35     60     95    55 1592    153 1908    208   3
P3 1613319050 11:10:50       25      54      59      37      26      18      53      14       8      19       1      16      11      28       38     13     51    59 1590     28 1917     87   3
P3 1613319051 11:10:51      203      19     128     230     375     390     492     144     154     277     118      16      25     268      262    143    405   492 1602    277 1905    769   2
P3 1613319052 11:10:52       60      23      22      25     132     235      20      66      73      31      65     159    2155    4789       73   1048   1121   235 1599   4789 1917   5024   4
P3 1613319053 11:10:53       21      33      15     262     302     345     594      35       9       6      38      87      14      10      224     28    252   594 1602     87 1911    681   3
P3 1613319054 11:10:54      752     282     157    1245    2099    1010    1968     579     467     239     380     845    1268    1230     1073    715   1788  2099 1596   1268 1914   3367   2
P3 1613319055 11:10:55      250     143     195      60      71       9      11     342     251      23     806      84     135      69      105    244    349   250 1584    806 1908   1056   4
P3 1613319056 11:10:56       79      68     181      56      96      21      17     262      37     460     206      22     681    1515       74    454    528   181 1590   1515 1917   1696   3
P3 1613319057 11:10:57      436    6805    6359    3175    9397   36338   49292    1044    1383    2747    3512    2302    1986    2822    15971   2256  18227 49292 1602   3512 1908  52804   3
P3 1613319058 11:10:58      111      19      44     115     155      24     134      11      42      66     145     202     127     326       86    131    217   155 1596    326 1917    481   1
P3 1613319059 11:10:59        4      44      83      47      52     163      70     227     131      42     135     313      48      35       66    133    199   163 1599    313 1911    476   1
P3 1613319060 11:11:00       50     118      53       4      56     291      55      15      10      42      29     122     108      49       89     53    142   291 1599    122 1911    413   3
P3 1613319061 11:11:01      470      51      33     462    1027     903    1779     171      56      74     118     241     128     647      675    205    880  1779 1602    647 1917   2426   3
P3 1613319062 11:11:02       11       2       4      41      78     174      14     326     431      46     106     350     484    1655       46    485    531   174 1599   1655 1917   1829   3
P3 1613319063 11:11:03      179      67     351       9     610     698     843     349     322     723     581     198     844    3393      393    915   1308   843 1602   3393 1917   4236   1
P3 1613319064 11:11:04       94     172      50       9      46     174     158      16      58      28       0       0      11     109      100     31    131   174 1599    109 1917    283   3
P3 1613319065 11:11:05      313     317     241     216     133     193     201      12      17      12     108      45     189     504      230    126    356   317 1586    504 1917    821   3
P3 1613319066 11:11:06       58      10      14      12      17      35      10      18       9      28       9      18      27      40       22     21     43    58 1584     40 1917     98   2
P3 1613319067 11:11:07       59      38      29      15      53      23      44      61      21     132      53      60      37      27       37     55     92    59 1584    132 1905    191   4
P3 1613319068 11:11:08      190       9       6      44       3      39      11     154     200     245     832     626     332     235       43    374    417   190 1584    832 1908   1022   3
